Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_footprint,-0.000309087484210829,-0.231774623204699,0.00490440684986201,0,0,0,45.829187990473,1.3247027895633,-0.00259104265884517,-0.00186845178508046,0.773725974976496,0.0411131993367175,1.15594469557223,0,0,0,0,0,0,package://my_urdf/meshes/base_footprint.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://my_urdf/meshes/base_footprint.STL,,simplified_model STEP V2 1.STEP-1/simplified_model STEP.STEP.STEP-1/robot base_2.STEP.STEP-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_right_link,-0.000233568800549525,0.00388215224949372,0.219535415875818,0,0,0,48.9383586991974,1.56913843574981,-0.00154016843274957,0.00211023847469076,1.44343461593917,-0.0373053138883436,0.925134371309634,0,0,0,0,0,0,package://my_urdf/meshes/front_right_link.STL,1,1,1,1,0,0,0,0,0,0,package://my_urdf/meshes/front_right_link.STL,,,Coordinate System1,Axis1,front_right_joint,revolute,0,0,0,1.5707963267949,0,0,base_footprint,-1,0,0,0,0,0,0,,,,,,,,
back_right_link,-0.188595,0.127041605346971,-0.0204638010416092,0,0,0,0.672106314046843,0.0022358710882711,1.18669985448161E-20,4.77668952557858E-22,0.00121366878208572,1.72224751499544E-07,0.0012137080517682,0,0,0,0,0,0,package://my_urdf/meshes/back_right_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://my_urdf/meshes/back_right_link.STL,,simplified_model STEP V2 1.STEP-1/Robot Wheel.STEP-4,Coordinate System1,Axis2,back_right_joint,revolute,0,0,0,1.5707963267949,0,0,base_footprint,1,0,0,0,0,0,0,,,,,,,,
back_left_link,0.188595,0.126968611638409,-0.0203013899175233,0,0,0,0.672106314046843,0.0022358710882711,-1.47749794835115E-20,-5.08498084480825E-21,0.001213728039212,-1.68751197173603E-07,0.00121364879464192,0,0,0,0,0,0,package://my_urdf/meshes/back_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://my_urdf/meshes/back_left_link.STL,,simplified_model STEP V2 1.STEP-1/Robot Wheel.STEP-2,Coordinate System1,Axis4,back_left_joint,revolute,0,0,0,1.5707963267949,0,0,base_footprint,1,0,0,0,0,0,0,,,,,,,,
front_left_link,0.188595,-0.127032541922988,-0.0202995473440542,0,0,0,0.672106314046843,0.0022358710882711,-7.01375136593397E-22,-1.64781567191005E-20,0.00121367321204965,-1.72672243645025E-07,0.00121370362180427,0,0,0,0,0,0,package://my_urdf/meshes/front_left_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://my_urdf/meshes/front_left_link.STL,,simplified_model STEP V2 1.STEP-1/Robot Wheel.STEP-1,Coordinate System1,Axis3,front_left_joint,revolute,0,0,0,1.5707963267949,0,0,base_footprint,1,0,0,0,0,0,0,,,,,,,,
base_laser,0.00548449682867642,-0.00227401415844783,0.513423127732833,0,0,0,0.170611427740059,0.000123166325080503,1.02818502430435E-07,3.96362803317277E-07,7.88356333895355E-05,2.02875674243666E-05,0.00014078871798285,0,0,0,0,0,0,package://my_urdf/meshes/base_laser.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://my_urdf/meshes/base_laser.STL,,simplified_model STEP V2 1.STEP-1/rplidar_main_По умолчанию.STEP-1,Coordinate System1,Axis_baser_laser_joint,baser_laser_joint,fixed,0,0,0,1.5707963267949,0,0,base_footprint,0,0,0,,,,,,,,,,,,
base_camera,0.00816075461061211,-0.156095902491559,0.405890121378547,0,0,0,0.220449863399617,4.67299149630673E-05,-4.59364629457927E-08,5.50364242676411E-09,0.000406106730886343,-1.59318277923789E-07,0.000425232439456108,0,0,0,0,0,0,package://my_urdf/meshes/base_camera.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://my_urdf/meshes/base_camera.STL,,simplified_model STEP V2 1.STEP-1/Orbbec Astra Camera.STEP-1,Coordinate System1,Axis_base_camera_joint,base_camera_joint,fixed,0,0,0,1.5707963267949,0,0,base_footprint,0,0,0,,,,,,,,,,,,
